id,streetName,buildingNumber,city,zipcode,country,countyCode,latitude,longitude
24,Nicolas Inlet,7487,Kiehnborough,65427,Eritrea,AS,-11.630638,-133.030692
25,Gail Stream,9516,Pourosport,72046-1648,Dominica,GH,26.738976,-16.379923
26,Hayes Burg,2462,Sidneyhaven,58653-3944,Chile,IN,53.317347,-168.424209
27,Ophelia Island,7007,Reichelborough,59032-1143,Bulgaria,BN,-4.567186,67.087403
28,Marks Ford,949,Cartwrightview,05379,Bouvet Island (Bouvetoya),UM,80.549323,83.139776
29,Justine Gateway,3768,Veumchester,68613,Belarus,SD,-87.068332,-126.444006
30,Balistreri Dale,947,Lake Mariannaton,29209-5265,Brunei Darussalam,KH,68.885341,14.372293
31,Odie Mountains,38989,Port Melbaland,17553-8240,Northern Mariana Islands,LA,-43.887088,-15.319637
32,Schumm Points,77841,Lake Elsamouth,14958-4663,Dominica,GU,78.927672,138.696319
33,Bayer Forge,73824,South Aileenstad,96258,Argentina,PS,-31.621214,-73.944037
34,Curt Haven,999,Suzannestad,30283,Zimbabwe,MH,84.202325,42.002096
35,Dedric Lodge,79683,East Marcella,35587-4387,Bolivia,CK,-11.618897,-137.389675
36,Corkery Isle,437,Jacobiport,60930,Belgium,CC,82.785440,-135.664599
37,Lelia Lights,6427,Lulustad,98700,Seychelles,SD,18.616884,163.079912
38,Botsford Pines,87287,West Sandra,26148,Bahrain,PM,80.315094,-121.286906
39,Pierce Lock,7433,Port Shanelle,17025-5065,Rwanda,ZM,45.168260,69.741616
40,Keeley Haven,829,Ignatiusmouth,20802,Greenland,RE,19.879379,85.367706
41,Eliane Throughway,1637,Port Elenabury,31180-0346,Myanmar,BB,-28.437842,138.920843
42,Elliott Ford,66218,New Earnestinechester,06179-2019,Australia,GN,75.862743,94.725578
43,Block Forge,983,North Royal,42812,Canada,MW,79.471687,-91.128141
44,Schmeler Isle,5365,West Marinahaven,20425-9071,Montserrat,BS,-33.288724,-28.303939
45,Sawayn Crest,15596,Kenyonbury,29681,Finland,LC,-65.207851,-10.751160
46,Cyril Junctions,847,East Vanessaland,24939,Holy See (Vatican City State),CY,88.552218,79.329329
47,Makenzie Meadows,6230,Lake Guillermochester,28076,Saint Vincent and the Grenadines,TL,36.704515,73.440287
48,Hoyt View,173,North Kale,16602-8287,Romania,PL,-47.225887,-126.141199
49,Margarita Mountains,86635,Rueckershire,04718-2617,India,CU,-10.879018,124.022011
50,Meggie Station,68883,Kareemberg,32238-4792,Panama,DO,-39.384069,139.747787
51,Pete Prairie,35490,New Jannie,63672-7623,Suriname,SH,87.589150,-51.536795
52,Smitham Ville,946,West Theodora,96789,Burundi,GQ,-44.111232,-47.915718
53,Dannie Motorway,23107,South Esmeraldaport,81510-0190,Netherlands,AZ,5.287636,54.687620
54,Huels Parkways,309,Leolashire,02981-9236,Antarctica (the territory South of 60 deg S),BQ,69.051890,-31.192420
55,Schmeler Prairie,52542,West Daisy,40787-5958,Samoa,EG,-0.934757,-127.689266
56,Monserrate Isle,610,East Alexanderville,01506,Mauritania,LS,71.619715,-109.858506
57,Borer Radial,34851,South Durwardshire,52050-5633,Colombia,SY,79.732538,61.562878
58,Grimes Shoals,2408,Mertzbury,72561,South Georgia and the South Sandwich Islands,ME,23.829113,-165.634161
59,Sipes Walk,2671,Schuliststad,21119,Cuba,BO,-28.817156,-152.102103
60,Kessler Plaza,419,South Cletus,12125-4686,French Southern Territories,FO,20.297925,158.453724
61,Irma Stream,7453,Jaskolskimouth,99775-9830,Montserrat,ES,29.712496,77.939924
62,Larkin River,92903,Port Anahi,56405-7874,Uruguay,SY,-48.402009,-109.386812
63,Parisian Corner,34642,Port Florencio,91140,Tanzania,PA,-9.417826,-17.086215
64,Josh Island,179,Haagfurt,12907-6901,Saint Vincent and the Grenadines,VC,-15.813108,-148.089066
65,Odessa Crest,774,Koelpinstad,03308,Fiji,NO,46.738607,52.888789
66,Adaline Fields,9660,Lake Lorine,06177,Portugal,LV,76.760564,-78.595003
67,Bins Lodge,775,Port Kyla,69630,Armenia,UZ,14.216734,-59.324019
68,Hyatt Ridges,638,Schmelerhaven,05276,Trinidad and Tobago,BI,70.671473,139.269899
69,McCullough Squares,56299,Roobview,19027,Jersey,GP,-4.348031,15.165591
70,Hane Extension,4731,New Asahaven,73686-7445,American Samoa,NA,66.109496,86.686953
71,Madisen Vista,57274,New Gloria,51092-1639,Malaysia,PT,-6.973736,8.548579
72,Ryan Mountains,8637,Lake Niko,78338,Barbados,UG,55.588904,124.785939
73,Jettie Wall,447,Elisabethville,39432-4080,Tajikistan,NO,-1.794885,-44.691921
74,Johnson Spring,82576,Alishastad,99218,Armenia,ME,-59.968344,86.071675
75,Bayer Ferry,6422,North Elisabethside,74549-1948,Dominica,AZ,72.935165,-173.364559
76,Torp Greens,45295,Herzogfort,28271-5161,Moldova,SD,-31.419477,-81.881086
77,Hauck Expressway,440,Maevefurt,73939,Myanmar,PF,-62.594796,92.267257
78,Gutmann Port,41469,North Elishafurt,06033,Bermuda,CU,3.141418,23.456216
79,Wilkinson Fort,47471,Brekkechester,41391,Colombia,QA,-70.224123,-160.536858
80,Hayes Center,47774,Rodriguezton,87314,British Virgin Islands,CN,-79.332866,36.767637
81,Meaghan Plains,14976,South Dorotheafurt,46751-2685,Azerbaijan,AM,-20.690264,109.703202
82,Lehner Parkway,6143,Strosinburgh,31544,Guinea-Bissau,SV,85.629692,-117.563791
83,Monahan Manor,5346,Arelyland,38607,Cocos (Keeling) Islands,RU,53.149660,63.500867
84,Torp Forest,69919,Tonyhaven,45561,Belarus,MT,-83.698739,33.059835
85,Fay Locks,94644,Rosemaryside,28699,Djibouti,NR,-1.974684,68.412033
86,Kemmer Loop,73013,Jonesview,96945-2361,Guam,AF,-21.751401,90.279495
87,Jack Hill,1883,East Abdul,20406,Saint Helena,AG,-46.610687,-61.144627
88,Crist Stravenue,9619,Alexfort,93828,Greenland,CI,-70.008373,134.118845
89,Hickle Haven,729,Klingshire,40032-2235,Bermuda,GH,-64.950722,143.560820
90,Heathcote Road,445,Chadrickville,99672-1206,Saint Pierre and Miquelon,DE,-41.263908,154.497525
91,Rosenbaum Drive,19812,Kelliebury,18221-9776,Martinique,HU,-42.754235,-150.547968
92,Kathlyn Rue,759,Gutkowskiton,63432,Bulgaria,IE,-82.090132,161.088686
93,Morton Center,8522,Arthurmouth,24583-5725,Eritrea,SM,-0.692204,-96.556137
94,Freddie Village,96203,Lake Arnoldo,49669,Ethiopia,NZ,-33.881400,-154.555593
95,Lind Lights,71650,East Lesly,58934-0939,Libyan Arab Jamahiriya,HT,0.679218,-32.937144
96,Effertz Gateway,746,East Maximoburgh,43823,Trinidad and Tobago,ZW,45.285849,76.858015
97,Geo Landing,933,East Eliasburgh,96009-7215,Germany,PR,27.030284,-35.107130
98,Hamill Mountain,7106,Prohaskafurt,93213-2848,Latvia,MN,-68.328078,-166.364738
99,Powlowski Islands,518,New Daphneyhaven,54901-1875,Guernsey,CX,-58.549690,-112.649490
100,Bradtke Plains,22836,Coltburgh,61662,Saint Lucia,IL,-53.212238,123.661971
101,Narciso Trail,9954,Lake Tyraview,44669-7253,Uruguay,KH,70.141379,-137.730581
102,Krystal Valley,898,Wiegandmouth,84816,Pakistan,GL,4.609990,-84.850659
103,Waters Gateway,8566,Julianchester,15906,Bosnia and Herzegovina,MZ,57.667870,34.324132
104,Scotty Squares,7349,Elzaville,23029-1836,Vanuatu,SS,17.921134,-81.091600
105,Rutherford Points,332,South Madisen,96719,Brunei Darussalam,TV,-69.524060,165.816938
106,Reta Port,983,Lake Melvinaview,61613-6969,Timor-Leste,MQ,41.191840,-33.271534
107,Jeremy Union,88030,Ressieville,10333-4498,Eritrea,CD,41.036973,-114.880012
108,Dietrich Gateway,76755,West Gwenstad,59534-6984,Saudi Arabia,NE,-31.876015,-15.389858
109,Kavon Plains,5385,Travisville,15531-0255,Panama,ST,-48.805468,-35.002154
110,Rodrigo Roads,365,Windlershire,07517-8056,United States Minor Outlying Islands,CO,-84.382483,91.666392
111,Morissette Mountain,4582,East Cheyenne,45707-8507,Vietnam,CU,-76.444017,-147.917857
112,Gerhold Summit,495,Millerside,54833,Zimbabwe,CN,-57.993464,-135.477217
113,Zola Ford,19521,Mannstad,62985-0877,Iran,RE,-88.867095,-2.574006
114,Damien Parkways,25395,Keanuton,38816,Bouvet Island (Bouvetoya),NL,-62.703252,170.306793
115,Franecki Freeway,391,Braunchester,24996-6296,Holy See (Vatican City State),BA,-32.707958,-69.315860
116,Priscilla Parks,5436,Jeffreychester,83098-1419,Dominica,DO,-72.245540,-117.416288
117,Annie Route,73068,South Rigobertostad,31139-2219,Isle of Man,DE,89.749135,14.921881
118,Tobin Mills,3224,Lake Margaritashire,50426,Swaziland,US,64.847556,41.170565
119,Eldora Villages,1690,East Kieranton,33573-7312,Papua New Guinea,SV,-50.582710,65.840557
120,Jaydon Loaf,729,Metzstad,46034-4670,Italy,SJ,-75.089344,-32.465526
121,Bart River,463,Treutelville,20630,Sri Lanka,TC,61.165568,-164.155330
122,Sage Ranch,8444,Alfort,41201,Zimbabwe,MS,46.571221,163.116279
123,Deckow Villages,28526,West Corine,24148-3250,Singapore,ES,45.515897,30.445506
124,Heller Corners,42894,South Juddville,74495,Nicaragua,CY,58.951031,86.250320
125,Alessia Branch,51200,Schroederton,42072-9761,Mozambique,ET,-29.524762,-104.806980
126,Lorena Garden,95542,Fritschport,07413-9580,Slovenia,CX,-16.579080,-74.019186
127,Eldridge Valley,11814,South Novella,81258-7920,Syrian Arab Republic,GT,-39.592002,99.198405
128,Rowe Lodge,4851,East Emelia,42741-6020,Maldives,MM,87.674558,109.280464
129,Richmond Islands,9109,Lake Odellmouth,21632,Liberia,KN,-69.072226,44.310408
130,Christiansen Fields,290,Lake Jermaine,66859,Azerbaijan,BH,-49.895572,168.199300
131,Bednar Viaduct,669,North Jerelport,78262,Australia,KP,56.277529,-0.415772
132,Carter Ford,29911,Feestborough,93114,Togo,PH,-20.071088,-176.483664
133,Breanna Extension,151,Tillmanland,50856,Ghana,KE,-16.850907,81.781839
134,Mueller Springs,6075,West Jalonborough,61767,Ecuador,LI,1.402126,-140.578622
135,Ruthe Port,6563,Lake Arvid,49457,Netherlands Antilles,WF,-42.799112,3.261930
136,Welch Hills,7928,Lake Jalyn,51692,Brazil,TV,-2.155105,176.142894
137,Deron Islands,2098,Leslyborough,24550,Iraq,BA,12.692975,109.275578
138,Antonio Crest,1551,Cortezmouth,43625-2532,Central African Republic,MU,-27.132461,106.564540
139,Johathan Locks,923,Lake Ara,67122-8826,Gabon,LT,-12.237010,-168.998690
140,Powlowski Land,680,Port Grace,56536,Pakistan,EG,3.593797,50.142884
141,Hand Junction,341,Lake Hobart,06001-1271,Moldova,BN,70.735890,-25.342864
142,Christopher Landing,4327,Berneicefurt,34435,Thailand,GS,-70.836916,32.888333
143,Frederick Stravenue,58487,Kihnshire,98424,Cayman Islands,AF,-28.443566,167.903534
144,O'Connell Street,95863,North Tad,01053-6165,Saint Barthelemy,VG,-28.968493,158.209406
145,McClure Expressway,6561,Miketon,79776,Zimbabwe,MD,12.526010,-168.819962
146,Enos Throughway,1579,West Laurence,37955,Algeria,MK,-77.424326,11.716453
147,Enrique Crossroad,40486,West Percyton,93633,Anguilla,AT,89.417831,4.336464
148,Janet Pike,98928,Lestertown,57463-9313,South Georgia and the South Sandwich Islands,LV,18.969199,-40.831950
149,Bernie Tunnel,619,Dustinmouth,33769-4452,Cuba,IR,12.635921,-15.817993
150,Samir Plaza,3389,Filibertoville,42164,Chad,CO,-23.180716,-168.568782
151,Dedrick Brook,500,Lake Dayanamouth,79574-6518,Mozambique,AZ,89.860174,87.613810
152,Gaylord Village,7663,Uriahland,28936-9886,Sudan,SH,40.236413,-68.719928
153,Charles Grove,865,Lake Martineton,72623-2553,Saint Lucia,GG,30.917545,109.544304
154,Bell Route,107,Lake Raeganshire,71131,Sao Tome and Principe,FJ,17.057699,24.789811
155,Jaren View,105,Lake Fabiola,92283,United States of America,GQ,-15.347776,-131.775257
156,Considine Cove,8157,South Brayan,79018,Antarctica (the territory South of 60 deg S),MD,49.524458,107.352891
157,Maeve Inlet,8980,Krajcikbury,10480,Saint Helena,IQ,-46.780551,-42.120594
158,Roob Ford,9622,Skilesside,69195,Georgia,LV,-67.613783,-113.890786
159,Gino Avenue,58922,Lake Lupe,12204-2729,Zambia,LB,26.823973,-132.774475
160,Rodger Crest,66148,Russelbury,30716,Aruba,ZW,-53.464563,79.253010
161,Swift Loop,4873,Port Zachariah,35229-5028,Dominican Republic,SL,-11.113532,149.882491
162,Halle Valley,409,South Edytheberg,43269-8140,Seychelles,AT,-61.596055,-56.624754
163,Lucio Parks,9584,North Randallstad,81353-8621,Saudi Arabia,VG,-2.403676,116.774933
164,Schimmel Vista,4518,South Tyrese,67472-9478,Trinidad and Tobago,YT,25.561701,171.425123
165,Maye Shores,124,Peteland,09916-1883,Italy,IM,-61.507606,16.897352
166,Volkman Avenue,179,Nedmouth,63249-3973,Ireland,IE,-78.759776,-11.191389
167,Rempel Forest,756,Port Sonny,93295-9998,Nicaragua,PW,9.427142,-55.871129
168,Jasper Inlet,3624,Alyceborough,06356-3845,Russian Federation,AL,-35.394070,-128.608777
169,VonRueden Ford,3451,Milfordside,52295-0833,Costa Rica,DM,8.702577,-62.112593
170,Hermann Hollow,960,North Garrettville,75271,Andorra,OM,-9.285218,-125.514454
171,Trisha Track,456,New Abdullahfort,93091-8672,Senegal,SI,-10.695142,102.519445
172,Ashtyn Station,60273,South Nola,33718,Falkland Islands (Malvinas),PL,7.766102,-63.795047
173,Dena Bridge,20853,Elyseborough,14249,Senegal,GD,65.832570,-3.125251
174,Ashtyn Row,3523,Muellerfurt,08585,Spain,TN,69.831236,1.598105
175,Therese Lodge,75861,South Alexanne,85092,Bouvet Island (Bouvetoya),IN,83.459278,-49.195085
176,Maximillia Motorway,4208,Medashire,62552-0483,Svalbard & Jan Mayen Islands,GN,39.275098,33.655679
177,Chandler Ville,7315,Millerland,35242,Malaysia,PR,2.949530,-122.049730
178,Feil Haven,2234,West Garrison,47959-6966,Jordan,TV,-59.955180,175.813640
179,Baylee Junction,6787,Lake Mustafa,01979,Kazakhstan,ML,-65.002649,-125.316782
180,Heaney Court,7755,Shirleyfort,21275-1572,Cote d'Ivoire,GN,-35.350391,-73.725383
181,Hulda Spurs,392,Cassinview,14541-4775,Serbia,VI,-70.834213,-149.243779
182,Jacquelyn Club,383,South Parkerburgh,04600-6568,French Southern Territories,KZ,45.149975,66.887858
183,Beahan Road,233,Hellerview,59026,Hungary,RS,-21.420967,-132.333819
184,Baumbach Throughway,8939,Veumland,75480-3022,French Polynesia,LC,-21.238026,-78.417282
185,Lucinda Port,6930,Lucianoville,20695-1527,Madagascar,FI,-73.337963,-156.876788
186,Kessler View,86286,North Randallfort,14663-8328,Ghana,NI,14.058904,51.360024
187,Eulalia Squares,27970,New Herbertland,00842-4136,Bolivia,DK,63.084187,-123.669248
188,Hope Trace,684,Curtisbury,60056,Namibia,MR,70.344066,-179.009462
189,Evie Summit,4287,Carlosfort,93428-1753,Gambia,TM,68.631250,-118.199366
190,May Circle,291,Weberfurt,32527-4054,Bangladesh,AL,-32.378981,24.040588
191,Klocko Hill,40967,Kochton,62351-7199,Morocco,CA,-80.964615,45.416315
192,Bartoletti Track,8264,Rowlandstad,46470,Ecuador,CK,38.475374,-55.722186
193,Hegmann Fords,9761,West Carletonmouth,70201-4624,Zimbabwe,SA,79.783081,68.025995
194,Dare Club,627,West Vivienland,53147,French Southern Territories,MK,-6.887693,-161.253619
195,Omer Forks,9361,Port Mekhihaven,06804-6615,Bhutan,LB,70.664403,-0.020825
196,Ritchie Crossroad,9481,West Jonathanmouth,75824,Taiwan,UM,-21.684894,-55.661002
197,Smitham Groves,96511,South Anderson,30694-0874,Bulgaria,ME,-26.513623,-64.726330
198,Mertz Loop,3901,Wadeton,67687-0428,Luxembourg,PK,42.209827,54.470008
199,Nickolas Garden,71515,Landenland,08684,Isle of Man,TK,-43.950893,73.074036
200,Raina Mountain,7563,Wisokyberg,49191,Lesotho,GA,-88.581599,115.045381
201,Jones Mountain,5797,Lake Maiya,16730,United Arab Emirates,BS,88.716495,30.276349
202,Paucek Circle,826,Port Devintown,32459,Christmas Island,AU,-32.802053,-32.762726
203,Ratke Oval,11023,Jenkinshaven,64535,Honduras,AG,19.879397,66.265119
204,Marielle Tunnel,621,Fatimabury,89470-0969,Reunion,ER,32.768737,-74.166980
205,Reynolds Skyway,1229,Malcolmton,37156,Micronesia,GD,71.799222,-171.390635
206,Graham Springs,947,North Davidburgh,02307-9033,Ethiopia,BG,-81.206013,-166.907235
207,Carmelo Mount,45564,Bergeville,84787-6087,Tajikistan,CW,71.667833,-3.225816
208,Nadia Highway,2368,New Nadiahaven,48559-1121,Latvia,RW,28.074952,-176.339121
209,Fred Mill,29683,Fisherhaven,22218,American Samoa,TR,83.632170,-141.604782
210,Schaden Ferry,432,Maximilianshire,65682-0466,Ecuador,FR,13.502505,-66.994138
211,McGlynn Shoals,378,South Germaine,70957-8217,Saint Vincent and the Grenadines,EC,73.852356,84.884667
212,Turner Station,4588,Andersonberg,21240-1924,Albania,SH,-69.269171,85.973268
213,Wolf Route,169,Grimesmouth,84151,Madagascar,GY,6.051475,-123.637518
214,Deckow Burgs,5446,East Halleborough,49810-8100,Svalbard & Jan Mayen Islands,LB,27.694871,-131.674969
215,Mozell Grove,838,North Neoma,82815-0989,Niue,BW,45.783742,31.991139
216,Mabelle Shore,13206,West Nathanton,74547,Ghana,SK,38.852326,25.452553
217,Germaine Ford,6436,South Rhoda,36361-7265,Moldova,BD,84.108249,68.200222
218,Sydnee Ford,7057,Lake Janis,33347-1896,Myanmar,IO,28.976470,-12.201069
219,Aiyana Viaduct,926,Port Casandra,61962-0961,Oman,YT,12.900566,38.533057
220,Jerad Groves,443,Holliestad,43362-6512,Cocos (Keeling) Islands,LU,-89.085233,76.977393
221,Rempel Shores,6387,Piperberg,09501-1469,Belgium,TL,-7.443341,-5.538717
222,Dovie Cove,759,Damarisport,18439,Ireland,GP,-27.822527,14.529686
223,Kaitlyn Track,711,Lake Danialborough,19781-2397,Pitcairn Islands,BJ,-13.546496,12.732389
224,Ortiz Square,7046,Lake Elbertshire,38970,Nauru,JM,70.694426,13.251906
225,Lowe View,97493,Cydneymouth,05721-8371,South Georgia and the South Sandwich Islands,AU,-23.471924,-98.373072
226,Jacobs Forks,80206,West Luz,21075,Lesotho,TW,-58.912434,-174.899883
227,Blanca Junction,35994,West Tarynland,00234-9698,Slovenia,SM,-60.715902,-109.316659
228,Haley Meadow,99809,Towneborough,31688,Bhutan,YT,46.808331,-60.895997
229,Wilbert Parkway,3493,Kreigerside,61045-0268,Albania,SJ,-21.772272,-63.486061
230,Damian Trafficway,45865,North Clark,36134,Namibia,LY,-89.747456,-148.660724
231,Petra Cliffs,6421,Gerrychester,63250-7317,Mongolia,NL,-15.458965,101.977966
232,Witting Parkway,8363,Lake Salvatore,94823,Samoa,MS,-16.486770,92.522043
233,Meaghan Dam,415,New Jaleel,02517-8430,Gabon,BJ,53.902791,-73.115336
234,Palma Plain,22688,South Rileyview,79736-0512,Italy,GR,74.420128,27.487886
235,Erdman Route,6024,South Johathan,59704,Maldives,YT,34.985694,138.283047
236,Swift Street,243,Lake Maureen,98093,Tonga,MN,-49.029521,117.158712
237,Hauck Center,43666,West Tanner,83942,Egypt,DK,-55.568517,105.609319
238,Jaunita Mount,983,Coltenville,90497-9558,United States Virgin Islands,VI,72.134137,-46.480291
239,Catherine Knolls,4939,Port Kattie,10983-6690,Macao,MC,-29.173816,-174.076939
240,Green Mission,671,Teaganshire,36692-9043,Moldova,LA,67.954784,3.813989
241,Stehr Radial,759,Burdettefort,76814,Myanmar,GS,6.547589,-103.297688
242,Alexander Wells,990,Nienowfort,18200-9402,Romania,KW,11.082375,-75.724344
243,Wilderman Ville,867,Lake Mazie,73770,Saint Helena,MT,18.930240,56.572967
244,Ashton Pines,290,Mableton,34669,Bhutan,GU,33.365735,-141.269879
245,Clara Pines,418,South Fannie,90944,Uzbekistan,GF,-85.925881,134.089152
246,Gerlach Orchard,44964,Borerside,51267,El Salvador,EH,85.661742,-79.241137
247,Hahn Junction,38182,Fannieview,82424,Jordan,NG,29.239645,-100.315670
248,Ruthie Mills,352,Joborough,72181,United States Minor Outlying Islands,WF,76.136932,122.310986
249,Okuneva Turnpike,112,Eliseoview,51539-0969,Bahamas,BA,-6.848878,36.974594
250,Sipes Station,6821,East Breanafort,98534,Anguilla,GD,-24.641254,28.754893
251,Leffler Isle,17094,Hoegerside,99551,Syrian Arab Republic,AR,-37.689817,47.236553
252,Isidro Flat,456,Legrosville,96682,Saint Vincent and the Grenadines,GF,-65.111458,-122.815497
253,Patrick Turnpike,2233,West Beryl,84028,Venezuela,LB,-51.650757,100.637969
254,Blanda Gateway,1366,New Montybury,61871,Romania,VA,34.332067,-54.395834
255,Erdman Islands,30656,North Gracie,93053-8229,Bermuda,SB,78.648897,-160.373485
256,Rosina Streets,27066,South Tonybury,31833,Mauritius,BM,85.261238,4.541364
257,Bartoletti Mountains,5010,New Aidenchester,03577,Colombia,KE,35.633738,40.557172
258,Katelyn Grove,2274,Kobystad,42165,Libyan Arab Jamahiriya,LB,1.240196,-67.997743
259,Gulgowski Run,19641,New Tremayne,74921,Bouvet Island (Bouvetoya),VI,-78.392119,-136.895532
260,Thompson Motorway,2800,South Kaitlyn,71669-9649,Norway,LK,87.320826,117.265645
261,Koss Via,37208,Rueckerhaven,95200-0547,Morocco,BH,26.303759,-82.979891
262,O'Kon Glens,349,New Gus,71412-6121,Malta,DM,79.917660,157.745097
263,Kole Trace,2188,Lake Coleburgh,74265-2678,Japan,PW,42.867672,-158.622118
264,Gleason Villages,25326,Hansenville,06887-1090,Japan,NA,18.489610,75.370635
265,Hegmann Street,83420,Port Alena,18207,Cape Verde,BJ,-49.057108,-113.843392
266,Nikolaus Mountain,2627,South Domingofort,98364,Ghana,TW,23.058960,102.152049
267,Thompson Valleys,1919,Lake Joanstad,81961,Nigeria,MZ,86.751552,28.988700
268,Raynor Corner,113,North Mossie,97079,United States Minor Outlying Islands,LT,43.120591,70.339012
269,Evie Roads,927,South Abeville,86746-4517,Philippines,WS,-18.304119,115.888995
270,Carmela Row,287,East Lillietown,53175,Serbia,CI,78.968467,-37.560638
271,Jarod Islands,39943,Port Horaciostad,14499-2323,San Marino,SO,55.637155,-26.478064
272,Crooks Fall,4129,North Cassandratown,74599,British Indian Ocean Territory (Chagos Archipelago),GH,66.252637,34.352348
273,Donnelly Village,29209,Cormierland,81539-9892,El Salvador,BF,35.059241,139.021599
274,Wilbert Light,30614,Lake Maiyafurt,68492,Italy,DM,42.686169,-68.085420
275,Lou Highway,251,Gutkowskichester,20675-9052,Ireland,AW,-8.222538,-168.768346
276,Otis Valleys,2064,Buckridgefort,69431,Ireland,IR,-57.603476,-15.630357
277,Anibal Dam,48330,West Gayle,84877,Egypt,SJ,-74.306219,-109.471454
278,O'Kon Rue,652,North Kaitlinmouth,27045-7713,Switzerland,GB,-48.924054,-172.468184
279,Deanna Motorway,18082,Hamilltown,80831,Bouvet Island (Bouvetoya),GS,-55.251962,61.181384
280,Ignacio Inlet,821,Ilafurt,20018,Fiji,NA,16.311321,97.172685
281,Cole Pike,37119,South Lamarstad,22905,Gambia,IM,-59.561177,-41.535658
282,Dach Ferry,42743,Beattyville,56344,Swaziland,BO,-72.828825,50.088249
283,Greenfelder Ports,518,Emeliafort,12635-4317,Russian Federation,BD,86.845987,-10.749107
284,Jettie Place,157,East Mariana,37165-3461,Mozambique,GG,-23.139649,88.008111
285,Schmeler Terrace,9099,South Aliya,01803,Uruguay,CC,21.678131,45.327967
286,Celestino Burgs,69155,South Guidoburgh,85829,Somalia,MZ,82.934081,178.649515
287,Block Summit,1194,Sanfordton,51297,Dominica,BO,72.276739,56.609412
288,Mireya Unions,9974,Lake Cullenville,94693,Philippines,NU,3.892471,-28.336915
289,Schroeder Vista,217,Port Dustin,90136,Luxembourg,NU,0.448125,-13.805870
290,Yazmin Gateway,3813,Idellborough,22421-4974,Tajikistan,HU,59.011862,114.390053
291,Mraz Avenue,826,North Jada,25876-1387,Mauritania,MU,49.020044,-24.092100
292,Hillary Summit,8464,Greenton,82861-6913,Mauritius,KP,34.541668,-11.556873
293,Myriam Hollow,8642,Lake Jeffryborough,10735,Afghanistan,AT,1.244682,-174.914674
294,Stan Junction,8912,West Kassandrastad,73416,Tuvalu,KE,1.897011,-55.419983
295,Colt Forge,96775,Port Haskelltown,50195-2949,Papua New Guinea,ZW,-81.978511,-13.800292
296,Garry Wall,794,Aliceton,32439,Ghana,QA,-21.176039,-107.069473
297,Coleman Locks,85705,Rubyfurt,01517,Sweden,GQ,-41.913413,114.078840
298,Felicity Drives,1478,Drakemouth,41036,Saint Pierre and Miquelon,MF,-65.501843,29.114905
299,Toy Corner,62846,Lake Kaleyburgh,96593-8634,Papua New Guinea,IN,44.589163,140.367346
300,Leuschke Crest,811,North Berta,87231-2129,Morocco,MU,9.486835,-178.074975
301,McCullough Shore,30305,South Hymanshire,19113-6464,Greece,ML,-3.525460,-133.673815
302,Turner Prairie,4838,Port Zariamouth,69749-0682,Micronesia,EH,-89.500468,-144.116128
303,Jules Track,95080,Port Akeem,69971-8026,Afghanistan,FK,-65.088300,177.684809
304,Allen Stream,3574,Selinaville,37756,Liechtenstein,SA,68.605797,-24.120789
